round,agent1_strategy,agent2_strategy,agent1_move,agent2_move,agent1_payoff,agent2_payoff,agent1_prediction,agent2_prediction,agent1_prediction_correct,agent2_prediction_correct,agent1_reasoning,agent2_reasoning
1,always_defect,cooperative,DEFECT,COOPERATE,5,0,,,,,,
2,always_defect,cooperative,DEFECT,COOPERATE,5,0,,,,,,
3,always_defect,cooperative,DEFECT,COOPERATE,5,0,,,,,,
4,always_defect,cooperative,DEFECT,COOPERATE,5,0,,,,,,
5,always_defect,cooperative,DEFECT,COOPERATE,5,0,,,,,,
1,always_defect,defensive,DEFECT,COOPERATE,5,0,,,,,,
2,always_defect,defensive,DEFECT,COOPERATE,5,0,,,,,,
3,always_defect,defensive,DEFECT,COOPERATE,5,0,,,,,,
4,always_defect,defensive,DEFECT,COOPERATE,5,0,,,,,,
5,always_defect,defensive,DEFECT,COOPERATE,5,0,,,,,,
1,always_defect,tit_for_tat,DEFECT,COOPERATE,5,0,,,,,,
2,always_defect,tit_for_tat,DEFECT,DEFECT,1,1,,,,,,
3,always_defect,tit_for_tat,DEFECT,DEFECT,1,1,,,,,,
4,always_defect,tit_for_tat,DEFECT,DEFECT,1,1,,,,,,
5,always_defect,tit_for_tat,DEFECT,COOPERATE,5,0,,,,,,
1,cooperative,defensive,COOPERATE,COOPERATE,3,3,,,,,,
2,cooperative,defensive,COOPERATE,COOPERATE,3,3,,,,,,
3,cooperative,defensive,COOPERATE,COOPERATE,3,3,,,,,,
4,cooperative,defensive,COOPERATE,COOPERATE,3,3,,,,,,
5,cooperative,defensive,COOPERATE,COOPERATE,3,3,,,,,,
1,cooperative,tit_for_tat,COOPERATE,COOPERATE,3,3,,,,,,
2,cooperative,tit_for_tat,COOPERATE,COOPERATE,3,3,,,,,,
3,cooperative,tit_for_tat,COOPERATE,COOPERATE,3,3,,,,,,
4,cooperative,tit_for_tat,COOPERATE,COOPERATE,3,3,,,,,,
5,cooperative,tit_for_tat,COOPERATE,COOPERATE,3,3,,,,,,
1,defensive,tit_for_tat,COOPERATE,COOPERATE,3,3,,,,,,
2,defensive,tit_for_tat,COOPERATE,COOPERATE,3,3,,,,,,
3,defensive,tit_for_tat,COOPERATE,COOPERATE,3,3,,,,,,
4,defensive,tit_for_tat,COOPERATE,COOPERATE,3,3,,,,,,
5,defensive,tit_for_tat,COOPERATE,COOPERATE,3,3,,,,,,
